dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,5.007934,140.616850,4.000000,8.000000,8.000000,8.000000,6.187541
1.000000,20.994933,135.895691,20.669537,16.669537,8.669537,0.669537,5.789053
1.000000,39.276636,116.873197,47.052789,26.383252,9.713715,1.044178,5.226713
1.000000,49.667594,93.959374,72.212584,25.159795,-1.223457,-10.937172,5.128860
1.000000,59.542834,78.617552,90.457908,18.245325,-6.914470,-5.691013,5.595321
1.000000,84.217867,66.218636,118.072947,27.615039,9.369714,16.284184,5.164239
1.000000,90.480506,39.391595,145.621283,27.548336,-0.066703,-9.436417,4.861936
1.000000,93.635579,15.186542,170.031097,24.409814,-3.138521,-3.071818,4.827620
1.000000,96.211025,-8.862634,194.217784,24.186687,-0.223127,2.915394,4.812077
1.000000,98.491743,-32.865364,218.328625,24.110842,-0.075846,0.147282,4.802845
1.000000,100.587545,-56.848388,242.403048,24.074423,-0.036419,0.039427,4.796627
1.000000,102.554821,-80.822048,266.457291,24.054242,-0.020181,0.016238,4.792125
1.000000,104.427098,-104.790139,290.498397,24.041106,-0.013136,0.007044,4.788714
1.000000,106.226351,-128.754549,314.530257,24.031860,-0.009246,0.003891,4.786047
1.000000,107.968058,-152.717380,338.556301,24.026044,-0.005816,0.003430,4.783920
1.000000,109.663473,-176.677914,362.576742,24.020442,-0.005602,0.000213,4.782199
1.000000,111.321397,-200.637760,386.593881,24.017138,-0.003303,0.002299,4.780798
1.000000,112.948671,-224.596051,410.607371,24.013490,-0.003648,-0.000345,4.779653
1.000000,114.551022,-248.553920,434.618765,24.011394,-0.002096,0.001552,4.778723
1.000000,116.133165,-272.510824,458.627855,24.009091,-0.002303,-0.000207,4.777974
1.000000,117.699195,-296.466759,482.634922,24.007067,-0.002024,0.000279,4.777385
1.000000,119.252738,-320.421823,506.640309,24.005387,-0.001679,0.000345,4.776939
1.000000,120.797068,-344.376017,530.644233,24.003923,-0.001464,0.000216,4.776622
1.000000,122.335204,-368.329086,554.646636,24.002404,-0.001519,-0.000055,4.776429
1.000000,123.870020,-392.280941,578.647616,24.000979,-0.001425,0.000095,4.776352
1.000000,125.404306,-416.231420,602.647188,23.999572,-0.001407,0.000018,4.776392
1.000000,126.940846,-440.180435,626.645444,23.998256,-0.001316,0.000090,4.776548
1.000000,128.482461,-464.127599,650.642178,23.996734,-0.001522,-0.000206,4.776825
1.000000,130.032103,-488.072597,674.637267,23.995090,-0.001644,-0.000122,4.777229
1.000000,131.592960,-512.015435,698.630928,23.993661,-0.001429,0.000216,4.777771
1.000000,133.168473,-535.955371,722.622651,23.991723,-0.001938,-0.000509,4.778467
1.000000,134.762521,-559.891788,746.612088,23.989437,-0.002286,-0.000349,4.779336
1.000000,136.379620,-583.824794,770.599664,23.987575,-0.001861,0.000425,4.780409
1.000000,138.024948,-607.752368,794.583739,23.984075,-0.003500,-0.001639,4.781723
1.000000,139.704920,-631.674267,818.564556,23.980817,-0.003259,0.000241,4.783334
1.000000,141.427416,-655.588691,842.540933,23.976377,-0.004439,-0.001180,4.785321
1.000000,143.202556,-679.493209,866.511271,23.970338,-0.006039,-0.001600,4.787798
1.000000,145.043854,-703.384810,890.473720,23.962449,-0.007889,-0.001849,4.790945
1.000000,146.970028,-727.257355,914.423847,23.950127,-0.012322,-0.004433,4.795050
1.000000,149.008987,-751.104126,938.357627,23.933780,-0.016347,-0.004025,4.800627
1.000000,151.204776,-774.905632,962.260204,23.902577,-0.031203,-0.014857,4.808687
1.000000,153.636982,-798.626678,986.105615,23.845411,-0.057165,-0.025962,4.821612
1.000000,156.477719,-822.149743,1009.799589,23.693974,-0.151438,-0.094272,4.847043
1.000000,160.275500,-844.690170,1032.657716,22.858127,-0.835847,-0.684409,4.941672
1.000000,144.948378,-842.115247,1048.199624,15.541908,-7.316219,-6.480372,1.417705
1.000000,147.433600,-819.115601,1071.333149,23.133526,7.591618,14.907837,1.489515
1.000000,149.053787,-795.446549,1095.057589,23.724440,0.590914,-7.000704,1.512473
1.000000,150.285669,-771.625347,1118.910622,23.853033,0.128593,-0.462321,1.524750
1.000000,151.285554,-747.741049,1142.815840,23.905218,0.052185,-0.076408,1.532664
1.000000,152.127097,-723.825141,1166.746550,23.930709,0.025491,-0.026694,1.538298
1.000000,152.852005,-699.887465,1190.695200,23.948651,0.017941,-0.007550,1.542567
1.000000,153.486402,-675.935523,1214.655542,23.960342,0.011691,-0.006250,1.545943
1.000000,154.047923,-651.976029,1238.621615,23.966073,0.005732,-0.005959,1.548698
1.000000,154.549273,-628.008628,1262.594259,23.972644,0.006571,0.000839,1.551000
1.000000,154.999796,-604.036772,1286.570348,23.976090,0.003446,-0.003125,1.552960
1.000000,155.406706,-580.060728,1310.549845,23.979497,0.003407,-0.000039,1.554654
1.000000,155.775670,-556.080591,1334.532820,23.982975,0.003479,0.000072,1.556137
1.000000,156.111191,-532.099650,1358.516109,23.983288,0.000313,-0.003166,1.557449
1.000000,156.417022,-508.115584,1382.502124,23.986015,0.002727,0.002414,1.558621
1.000000,156.696249,-484.127899,1406.491435,23.989311,0.003295,0.000568,1.559674
1.000000,156.951392,-460.142935,1430.477755,23.986320,-0.002990,-0.006286,1.560629
1.000000,157.184725,-436.154223,1454.467602,23.989847,0.003527,0.006517,1.561498
1.000000,157.398103,-412.164736,1478.458038,23.990436,0.000589,-0.002937,1.562294
1.000000,157.593160,-388.174745,1502.448822,23.990784,0.000347,-0.000242,1.563027
1.000000,157.771336,-364.182380,1526.441849,23.993027,0.002244,0.001896,1.563704
1.000000,157.933856,-340.191409,1550.433370,23.991521,-0.001506,-0.003750,1.564332
1.000000,158.081862,-316.196635,1574.428600,23.995230,0.003708,0.005214,1.564917
1.000000,158.216292,-292.205385,1598.420227,23.991627,-0.003603,-0.007311,1.565463
1.000000,158.338059,-268.212304,1622.413617,23.993390,0.001763,0.005366,1.565974
1.000000,158.447948,-244.218206,1646.407966,23.994350,0.000960,-0.000804,1.566454
1.000000,158.546669,-220.222917,1670.403459,23.995492,0.001143,0.000183,1.566906
1.000000,158.634861,-196.227925,1694.398613,23.995154,-0.000339,-0.001482,1.567332
1.000000,158.713108,-172.234676,1718.391989,23.993376,-0.001777,-0.001439,1.567735
1.000000,158.781961,-148.237494,1742.389270,23.997281,0.003905,0.005683,1.568116
1.000000,158.841888,-124.243818,1766.383021,23.993751,-0.003530,-0.007436,1.568478
1.000000,158.893357,-100.245762,1790.381132,23.998110,0.004359,0.007890,1.568822
1.000000,158.936764,-76.251273,1814.375660,23.994528,-0.003582,-0.007942,1.569150
1.000000,158.972500,-52.255871,1838.371089,23.995428,0.000900,0.004482,1.569462
1.000000,159.000916,-28.259369,1862.367608,23.996519,0.001091,0.000191,1.569760
1.000000,159.022339,-4.262546,1886.364440,23.996832,0.000313,-0.000778,1.570045
1.000000,159.037070,19.734197,1910.361188,23.996748,-0.000084,-0.000397,1.570318
1.000000,159.044806,41.183562,1931.810555,21.449367,-2.547381,-2.547296,1.570552
1.000000,159.047267,56.084575,1946.711568,14.901013,-6.548354,-4.000973,1.570710
1.000000,159.047617,62.987852,1953.614845,6.903277,-7.997736,-1.449383,1.570781
1.000000,159.047628,64.441673,1955.068666,1.453821,-5.449456,2.548281,1.570796
1.000000,159.047628,64.441673,1955.068666,0.000000,-1.453821,3.995635,1.570796
